SR Family,SC_Family,total_SCFamily_SCFRM,total_SCFamily_SC171,percentage_SCFamily
3.01,AC,43,28,0.6511627906976745
3.02,AT,5,3,0.6
3.03,AU,19,14,0.7368421052631579
3.12,CA,15,3,0.2
3.04,CM,26,13,0.5
3.08,CP,24,1,0.041666666666666664
3.05,IA,27,11,0.4074074074074074
3.06,IR,18,6,0.3333333333333333
3.07,MA,11,6,0.5454545454545454
3.08,MP,10,8,0.8
3.1,PE,20,6,0.3
3.12,PL,6,1,0.16666666666666666
3.09,PS,9,3,0.3333333333333333
3.11,RA,10,3,0.3
3.13,SA,22,1,0.045454545454545456
3.13,SC,32,15,0.46875
3.14,SI,28,5,0.17857142857142858
